Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",62 m²,8.6 tỷ,4.1 m,,4 tầng,4 phòng,4 phòng,,,,
"Đường Lê Văn Hiến, Phường Đức Thắng, Bắc Từ Liêm, Hà Nội",58 m²,7.2 tỷ,4.6 m,6 m,6 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Đông - Nam,
"đường Đông Ngạc, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",60 m²,5.48 tỷ,4.8 m,5.5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Tặng lại toàn bộ nội thất.,,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",62 m²,4.5 tỷ,4.5 m,4.5 m,1 tầng,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",36 m²,3.2 tỷ,4 m,2.5 m,6 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",40 m²,6.25 tỷ,3.9 m,2 m,5 tầng,5 phòng,,Sổ đỏ.,Đầy đủ,Đông - Nam,
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",40 m²,3.98 tỷ,3.8 m,2.5 m,6 tầng,5 phòng,4 phòng,,,,
"Ngõ 20, Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",40 m²,10.5 tỷ,,,5 tầng,,,,,,
"Đường Nguyễn Xiển, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",36 m²,3.6 tỷ,4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,FULL NỘI THẤT,,
"Đường Trung Kiên, Phường Minh Khai, Bắc Từ Liêm, Hà Nội",66 m²,2.15 tỷ,4.6 m,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Hoa Bằng, Phường Quan Hoa, Cầu Giấy, Hà Nội",38 m²,3.9 tỷ,,,5 tầng,,,Sổ vuông vắn,,,
"Xã Đông La, Hoài Đức, Hà Nội",31 m²,1.85 tỷ,4.25 m,2 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",34 m²,3.1 tỷ,3.7 m,2.6 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",53 m²,4.7 tỷ,6.5 m,,3 tầng,3 phòng,3 phòng,,,,
"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",39 m²,3.1 tỷ,4 m,2 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Phố Vọng, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",40 m²,7.6 tỷ,4.2 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",112 m²,7.9 tỷ,6.5 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Kim Giang, Phường Đại Kim, Hoàng Mai, Hà Nội",41 m²,3.55 tỷ,3.7 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",40 m²,4.3 tỷ,3.7 m,3.2 m,6 tầng,4 phòng,4 phòng,Sổ đỏ,Nội thất đầy đủ,,
"Ngõ 81, Đường Phố Trạm, Phường Long Biên, Long Biên, Hà Nội",45 m²,4.95 tỷ,4.5 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",50 m²,4.1 tỷ,4 m,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",33 m²,3.3 tỷ,3.5 m,2 m,5 tầng,3 phòng,3 phòng,Sổ đỏ,Nội thất đầy đủ,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",41 m²,4.6 tỷ,4 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,,
"Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",38 m²,1.5 tỷ,3.1 m,,2 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Phố Mai Phúc, Phường Phúc Đồng, Long Biên, Hà Nội",45 m²,3.5 tỷ,5 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,"Để lại toàn bộ nội thất: Tủ lạnh, tủ bếp, tủ, lò vi sóng, bếp điện từ nhật, bếp nướng, 04 điều hoà mới.",Tây - Nam,
"Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",48 m²,12.3 tỷ,,,,6 phòng,,Sổ đỏ chính chủ.,,,
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",75 m²,6.4 tỷ,5 m,4 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",35 m²,1.95 tỷ,3.6 m,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Bắc,
"Phố Đồng Nhân, Xã Đông La, Hoài Đức, Hà Nội",32 m²,2.3 tỷ,4 m,3 m,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Bắc,Đông - Bắc
"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",34 m²,4.75 tỷ,4.5 m,2.5 m,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Phố Doãn Kế Thiện, Phường Mai Dịch, Cầu Giấy, Hà Nội",55 m²,10.5 tỷ,4.6 m,4 m,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất.,,
"Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",130 m²,55 tỷ,7.4 m,,6 tầng,10 phòng,11 phòng,Sổ đỏ/ Sổ hồng,,Nam,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"84, Phố Ngọc Khánh, Phường Giảng Võ, Ba Đình, Hà Nội",27 m²,2.85 tỷ,,,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đông Dư, Xã Đông Dư, Gia Lâm, Hà Nội",32 m²,2.9 tỷ,3 m,6 m,4 tầng,4 phòng,3 phòng,,,Tây - Nam,Tây - Nam
"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",37 m²,5.5 tỷ,4 m,2.5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Đường Tây Sơn, Phường Ngã Tư Sở, Đống Đa, Hà Nội",52 m²,7.55 tỷ,4.4 m,2.5 m,6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Full,Đông - Bắc,Đông - Bắc
"Ngõ 66, Đường Ngọc Lâm, Phường Long Biên, Long Biên, Hà Nội",100 m²,Thỏa thuận,6 m,6 m,2 tầng,,,Sổ đỏ/ Sổ hồng.,,,
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",58 m²,6.58 tỷ,4.2 m,2.5 m,4 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",48 m²,4.25 tỷ,6 m,3 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"Ngõ 198, Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",31 m²,4.5 tỷ,5 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full,Tây - Nam,Tây - Bắc
"Đường Cổ Nhuế, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",50 m²,5.3 tỷ,4.3 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",65 m²,Thỏa thuận,4.5 m,4 m,4 tầng,4 phòng,4 phòng,Sổ đỏ.,,,
"đường Mỹ Đình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",56 m²,6.4 tỷ,6.3 m,2.5 m,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Full nội thất ,,
"Ngõ 46, Đường Phạm Ngọc Thạch, Phường Phương Liên, Đống Đa, Hà Nội",35 m²,5.33 tỷ,3.5 m,2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam
"Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",30 m²,4.3 tỷ,3.5 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",45 m²,6.8 tỷ,4 m,3 m,6 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",45 m²,Thỏa thuận,4 m,6 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",30 m²,2.8 tỷ,4 m,3 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Trường Chinh, Phường Khương Trung, Thanh Xuân, Hà Nội",40 m²,6.7 tỷ,4 m,5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Tây - Bắc
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",65 m²,12.8 tỷ,,,5 tầng,4 phòng,,Sổ đỏ chính chủ,,,
"Ngõ 184, Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",30 m²,2.7 tỷ,4.5 m,3 m,4 tầng,3 phòng,2 phòng,,Đầy đủ,,
"Đường Hồ Ba Mẫu, Phường Phương Liên, Đống Đa, Hà Nội",50 m²,10.4 tỷ,3.6 m,6 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Tây,Tây
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Đường Nhân Mỹ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",30 m²,4.25 tỷ,3.6 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Đường Lâm Hạ, Phường Bồ Đề, Long Biên, Hà Nội",60 m²,Thỏa thuận,5 m,7 m,7 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,"Hệ thống điều hòa Daikin, báo khói hệ thống phòng cháy, điện điều hành thông minh tắt mở qua điện thoại.",Nam,
"Ngõ 126, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",50 m²,9 tỷ,,,,,,,,,
"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội",46 m²,9.5 tỷ,9 m,7 m,7 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội",65 m²,6.1 tỷ,4.2 m,4 m,6 tầng,9 phòng,,Sổ đỏ,,,
"Đường Khương Đình, Phường Khương Đình, Thanh Xuân, Hà Nội",26.5 m²,2.5 tỷ,3.6 m,3 m,4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",49.5 m²,4.5 tỷ,4 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ chính chủ,Cao cấp,,
"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",85 m²,32.8 tỷ,5.5 m,,,3 phòng,9 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",105 m²,18.6 tỷ,6 m,3 m,8 tầng,24 phòng,24 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",58 m²,6.58 tỷ,,,4 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",125 m²,16.85 tỷ,6.5 m,,7 tầng,8 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,8 tỷ,5.5 m,5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất Châu Âu.,,
"Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",46 m²,9.5 tỷ,5 m,7 m,7 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",33 m²,1.68 tỷ,4 m,2 m,4 tầng,3 phòng,3 phòng,Sổ đỏ,Full nội thất cơ bản ,,
"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",45 m²,5.2 tỷ,4.3 m,3.5 m,6 tầng,3 phòng,5 phòng,Sổ đỏ.,Nội thất nhập ngoại.,,
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",65 m²,9 tỷ,5.2 m,12 m,5 tầng,4 phòng,7 phòng,Đã có sổ.,,,
"Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội",48 m²,5.8 tỷ,3.4 m,,4 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",55 m²,9.85 tỷ,5 m,,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Định Công Thượng, Phường Định Công, Hoàng Mai, Hà Nội",40 m²,5 tỷ,,,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Full đồ nội thất đẳng cấp.,,
"Đường Trường Chinh, Phường Ngã Tư Sở, Đống Đa, Hà Nội",88 m²,7.5 tỷ,5 m,4 m,6 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",130 m²,33 tỷ,10 m,,10 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",60 m²,5.8 tỷ,4 m,4 m,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",40 m²,Thỏa thuận,4.5 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",75 m²,6.65 tỷ,,5 m,3 tầng,4 phòng,3 phòng,,,,
"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",30 m²,3.95 tỷ,7 m,,5 tầng,4 phòng,,Sổ đỏ,,,
"Đường Đặng Tiến Đông, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",40 m²,5.05 tỷ,5 m,3 m,5 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",75 m²,8.1 tỷ,4.7 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",35 m²,5.9 tỷ,,,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",65 m²,8.1 tỷ,5.25 m,5 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội",75 m²,8.4 tỷ,5 m,4 m,3 tầng,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",60 m²,16.8 tỷ,,,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 176, Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội",70 m²,9.15 tỷ,4.5 m,6 m,6 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Vương Thừa Vũ, Phường Khương Trung, Thanh Xuân, Hà Nội",30 m²,2.75 tỷ,5.4 m,,,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",35 m²,4.05 tỷ,3.1 m,3 m,4 tầng,4 phòng,3 phòng,,,,
"Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội",45 m²,8.7 tỷ,3.7 m,6 m,4 tầng,3 phòng,3 phòng,Sổ đỏ chính chủ.,,,
"Đường Bát Khối, Phường Cự Khối, Long Biên, Hà Nội",39 m²,2.75 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",36 m²,3.75 tỷ,3.8 m,3 m,5 tầng,3 phòng,3 phòng,Sổ đỏ chính chủ.,Đầy đủ.,,
"Phố Kim Mã, Phường Kim Mã, Ba Đình, Hà Nội",52 m²,5.58 tỷ,,,5 tầng,4 phòng,4 phòng,Sổ đỏ,,,
"Phố Hương Viên, Phường Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",10 m²,1.1 tỷ,3 m,2 m,4 tầng,2 phòng,2 phòng,Sổ đỏ chính chủ,Nội thất cơ bản,,
"Đường Gia Thụy, Phường Gia Thụy, Long Biên, Hà Nội",60 m²,5.75 tỷ,4 m,3.5 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường 415, Xã Khánh Thượng, Ba Vì, Hà Nội",250 m²,1.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,Nam,
"Phố Lương Định Của, Phường Kim Liên, Đống Đa, Hà Nội",50 m²,5 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Phạm Ngọc Thạch, Phường Kim Liên, Đống Đa, Hà Nội",50 m²,5 tỷ,5.5 m,3 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",37 m²,4.2 tỷ,3.5 m,2.5 m,4 tầng,4 phòng,4 phòng,Sổ đỏ chính chủ,"Nội thất cao cấp, hiện đại ",,
"Phố Lương Định Của, Phường Phương Mai, Đống Đa, Hà Nội",50 m²,5.9 tỷ,3.5 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",50 m²,5.6 tỷ,5 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Thanh Nhàn, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",55 m²,5.4 tỷ,4.3 m,2.5 m,5 tầng,5 phòng,4 phòng,Sổ đỏ chính chủ,Nội thất cao cấp ,,
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",48 m²,6.5 tỷ,6.5 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",60 m²,9.8 tỷ,10 m,3 m,8 tầng,18 phòng,18 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Lân, Phường Phương Liệt, Thanh Xuân, Hà Nội",52 m²,5.5 tỷ,5 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội",43 m²,3.05 tỷ,5 m,,5 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Phan Đình Giót, Phường Khương Mai, Thanh Xuân, Hà Nội",50 m²,4.8 tỷ,4 m,5 m,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Phương Liệt, Phường Phương Liệt, Thanh Xuân, Hà Nội",50 m²,6 tỷ,5.2 m,4 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ 189, Phố Nguyễn Ngọc Vũ, Phường Trung Hòa, Cầu Giấy, Hà Nội",80 m²,16 tỷ,,,7 tầng,,,,,,
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",80 m²,10 tỷ,5.5 m,5 m,3 tầng,3 phòng,3 phòng,Sổ đỏ.,,,
"Đường Mạc Thái Tổ, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,8.8 tỷ,,,,,,,,,
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",46 m²,7.7 tỷ,4 m,3 m,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
