Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Nội thất,Số phòng ngủ
"129, Đường Bát Khối, Phường Long Biên, Long Biên, Hà Nội",57 m²,6.3 tỷ,3.5 m,3 m,,,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Hoàn thiện. Thiết bị vệ sinh cao cấp Inax.,5 phòng
"Ngõ 24 Lê Trọng Tấn, Phường La Khê, Hà Đông, Hà Nội",50 m²,9.2 tỷ,4 m,5 m,Tây - Nam,Tây,5 tầng,3 phòng,Sổ đỏ,Nội thất đầy đủ,4 phòng
"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",32 m²,2.25 tỷ,4 m,3 m,Đông - Nam,Đông - Nam,5 tầng,4 phòng,Sổ đỏ,Nội thất đầy đủ,3 phòng
"Phường Đội Cấn, Ba Đình, Hà Nội",45 m²,6.25 tỷ,,,,,,,,,
"ngõ 243, Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,2.9 tỷ,4.6 m,2 m,Tây - Bắc,Tây - Bắc,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,"Nội thất đầy đủ như: Tủ bếp, nóng lạnh, bồn tắm kính, tủ âm tường trong phòng và được thiết kế rất hiện đại...",3 phòng
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",25.8 m²,3.25 tỷ,,,Nam,,3 tầng,,Sổ đỏ chính chủ,,
"Đường Hòa Bình, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,2.03 tỷ,3.8 m,3 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ,Nội thất đầy đủ,4 phòng
"đường Nghi Tàm, Phường Yên Phụ, Tây Hồ, Hà Nội",50 m²,6.38 tỷ,5.4 m,,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội",30 m²,2.9 tỷ,,,,,5 tầng,,,,
"Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội",30 m²,3.75 tỷ,,,,,5 tầng,,,,
"Số 9B ngõ 237/28, Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",36 m²,4.5 tỷ,3.6 m,,Đông - Nam,Đông - Nam,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Ngõ 268, Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội",45 m²,6.6 tỷ,4.5 m,4.5 m,,,6 tầng,,Đã có sổ,Cơ bản,3 phòng
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",38 m²,6.25 tỷ,,,,,5 tầng,4 phòng,,,3 phòng
"Thị trấn Trạm Trôi, Hoài Đức, Hà Nội",52 m²,2.8 tỷ,,4 m,,,2 tầng,1 phòng,Sổ đỏ/ Sổ hồng.,,2 phòng
"Số 1A ngõ 98, Đường Nguyễn Ngọc Nại, Phường Khương Mai, Thanh Xuân, Hà Nội",35 m²,9.6 tỷ,5 m,,,,6 tầng,,Sổ đỏ chính chủ,"Cầu thang máy, điều hòa, bình nóng lạnh",
"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",42 m²,9 tỷ,,,,,6 tầng,,,"Sàn gỗ toàn bộ phòng khách, phòng ngủ, cầu thang và cửa bằng gỗ Lim, tủ bếp, thang máy nhập khẩu, trần thạch cao, thiết bị vệ sinh inax, đường chờ nóng lạnh, điều hòa, truyền hình cáp, nước sạch.",3 phòng
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",45 m²,3.3 tỷ,4 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng.,,4 phòng
"Ngõ 444, Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội",80 m²,8.8 tỷ,4.5 m,3.8 m,,,6 tầng,10 phòng,SĐCC.,Full.,10 phòng
"Xã An Khánh, Hoài Đức, Hà Nội",70 m²,2.9 tỷ,7 m,2.5 m,Đông - Nam,,4 tầng,2 phòng,Hợp đồng mua bán,Nội thất đầy đủ ,4 phòng
"Ngõ 73 N, Đường Nguyễn Trãi, Phường Khương Trung, Thanh Xuân, Hà Nội",46.6 m²,9.545 tỷ,4.2 m,5.5 m,Đông - Bắc,Đông - Bắc,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cầu thang ốp full gỗ,6 phòng
"99/47/28, Đường Đức Giang, Phường Thượng Thanh, Long Biên, Hà Nội",109 m²,78 triệu/m²,5.5 m,3.5 m,Đông - Nam,,1 tầng,,Đã có sổ đỏ.,,6 phòng
"Số 1 Ngách 82 Ngõ 211 Đường Khương Trung, Phường Khương Đình, Thanh Xuân, Hà Nội",42.7 m²,5.9 tỷ,4 m,,Tây - Nam,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5 phòng
"Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội",30 m²,4.8 tỷ,3.5 m,4 m,,,6 tầng,,,"Nội thất cơ bản: điều hòa, quạt bếp..",3 phòng
"Ngõ 93/7 số nhà 5, Phố Vũ Tông Phan, Phường Khương Trung, Thanh Xuân, Hà Nội",45 m²,8.3 tỷ,3.8 m,3 m,Tây - Nam,,6 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",50 m²,6.3 tỷ,5 m,5 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Số nhà 8 ngách 36 /159, Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",82.4 m²,6.45 tỷ,,,,,4 tầng,3 phòng,,,5 phòng
"Đường Phú Đô, Phường Phú Đô, Nam Từ Liêm, Hà Nội",30 m²,3.75 tỷ,3.7 m,2 m,Đông - Nam,,5 tầng,4 phòng,Đã có sổ,Nội thất.,3 phòng
"Thị trấn Văn Điển, Thanh Trì, Hà Nội",52 m²,4.5 tỷ,4 m,6 m,Tây - Nam,,4 tầng,,,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",76 m²,9.7 tỷ,5.4 m,5 m,,,6 tầng,9 phòng,"Sổ đỏ, sổ hồng",Hiện đại,9 phòng
"Đường Yên Bệ, Xã Kim Chung, Hoài Đức, Hà Nội",34 m²,2.35 tỷ,3.35 m,2.2 m,,,4 tầng,3 phòng,,,4 phòng
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",58 m²,5.2 tỷ,4.5 m,3 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,4 phòng
"Ngõ Chùa Liên Phái, Phố Bạch Mai, Phường Cầu Dền, Hai Bà Trưng, Hà Nội",30 m²,3.8 tỷ,5 m,,Đông - Nam,,4 tầng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,2 phòng
"Đường Yên Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội",35 m²,1.85 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Ngõ 242, đường Láng, Phường Thịnh Quang, Đống Đa, Hà Nội",56.4 m²,5.8 tỷ,,,Đông - Nam,Đông - Nam,3 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Xã Vạn Phúc, Thanh Trì, Hà Nội",74 m²,2.4 tỷ,,3 m,,,4 tầng,3 phòng,,,4 phòng
"Số 24 ngõ 52, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",40 m²,4.2 tỷ,,,Tây,Tây,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,3 phòng
"Phố Nguyễn Thanh Bình, Phường Vạn Phúc, Hà Đông, Hà Nội",55 m²,9.5 tỷ,5 m,7 m,Tây - Bắc,Tây - Bắc,6 tầng,5 phòng,Sổ đỏ,Nội thất đầy đủ,4 phòng
"Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội",40 m²,4.35 tỷ,3.3 m,5 m,Tây - Bắc,Tây - Bắc,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất.,4 phòng
"Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội",55 m²,6.5 tỷ,4.5 m,4 m,,,5 tầng,4 phòng,Đã có sổ đỏ,Nội thất đầy đủ,4 phòng
"Ngách 37 ngõ 255, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",36 m²,4.5 tỷ,3.7 m,3 m,Nam,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,4 phòng
"Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",40 m²,3.3 tỷ,,,,,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất ,5 phòng
"Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",40 m²,5.35 tỷ,4 m,,,,5 tầng,4 phòng,,,6 phòng
"296/86, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",41 m²,4 tỷ,,,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,4 phòng
"Ngõ 103, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",65 m²,5.35 tỷ,5.1 m,2.8 m,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp ,9 phòng
"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",71 m²,95 triệu/m²,3.5 m,3.3 m,Bắc,Bắc,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,Nội thất chuẩn 5 sao.,4 phòng
"Đường Tam Trinh, Phường Mai Động, Hoàng Mai, Hà Nội",46 m²,4.7 tỷ,5 m,,,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp.,6 phòng
"Đường Trường Chinh, Phường Phương Liệt, Thanh Xuân, Hà Nội",42.2 m²,7.09 tỷ,4.2 m,,,,6 tầng,4 phòng,Sổ đỏ chính chủ.,,6 phòng
"Phường Định Công, Hoàng Mai, Hà Nội",43 m²,1.65 tỷ,,,,,3 tầng,3 phòng,,,3 phòng
"Đường 21B, Phường Phú Lãm, Hà Đông, Hà Nội",40 m²,2.3 tỷ,4 m,3.5 m,,,4 tầng,3 phòng,Sổ đỏ/ sổ hồng,"* Nội thất: Tủ bếp gỗ xoan đào, tay vịn cầu thang và cửa thông phòng làm bằng gỗ lim. Cửa sổ làm bằng nhôm Việt Pháp",4 phòng
"Phố Hào Nam, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",44 m²,5.15 tỷ,4.2 m,,,,4 tầng,,Sổ đỏ/ Sổ hồng,Nội thất cơ bản,4 phòng
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",56 m²,6.55 tỷ,4 m,3.5 m,Đông,Đông,4 tầng,3 phòng,"Sổ đỏ chính chủ,vuông vắn",,4 phòng
"Đường Ngọc Hồi, Thị trấn Văn Điển, Thanh Trì, Hà Nội",83 m²,5.3 tỷ,,4 m,,,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,4 phòng
"Số 8, Ngõ 580, Đường Thụy Khuê, Phường Bưởi, Tây Hồ, Hà Nội",31.3 m²,4.8 tỷ,3.12 m,1.2 m,Tây - Bắc,Nam,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,"Nội thất cơ bản, tủ bếp, vách...",3 phòng
