Địa chỉ,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"Đường Lâm Hạ, Phường Bồ Đề, Long Biên, Hà Nội",70 m²,13 tỷ,5 m,7 m,6 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,Nội thất cao cấp,,
"Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội",49 m²,5.8 tỷ,3.6 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ,,,
"Ngõ 199, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",67 m²,7.2 tỷ,,,4 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Phố Chùa Láng, Phường Láng Thượng, Đống Đa, Hà Nội",65 m²,11 tỷ,4 m,5 m,2 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Hoàng, Phường Mai Dịch, Cầu Giấy, Hà Nội",50 m²,6.95 tỷ,6 m,,5 tầng,5 phòng,,,,,
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",35 m²,2.4 tỷ,3.6 m,2 m,,3 phòng,,Sổ đỏ,Pull,Tây,
"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",46 m²,7.3 tỷ,,,5 tầng,5 phòng,4 phòng,,,,
"Phường Nhân Chính, Thanh Xuân, Hà Nội",60 m²,5.3 tỷ,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,
"Đường Đặng Văn Ngữ, Phường Trung Tự, Đống Đa, Hà Nội",65 m²,9.7 tỷ,4 m,,3 tầng,2 phòng,2 phòng,"Sổ đỏ chính chủ, giao dịch 24/7.",Nội thất cực đẹp.,,
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",40 m²,7.8 tỷ,4.5 m,4 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Bùi Ngọc Dương, Phường Bạch Mai, Hai Bà Trưng, Hà Nội",59 m²,6 tỷ,,,5 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Đỗ Quang, Phường Trung Hòa, Cầu Giấy, Hà Nội",50 m²,14 tỷ,4 m,,6 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",50 m²,5.98 tỷ,4 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường An Dương Vương, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",60 m²,6.6 tỷ,4.5 m,5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Dịch Vọng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",40 m²,5.2 tỷ,3.8 m,,5 tầng,5 phòng,,Sổ đỏ,,,
"Đường Trung Văn, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",32.3 m²,3.3 tỷ,4.54 m,2.65 m,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đẹp.,Đông,
"Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội",55 m²,13.5 tỷ,7.9 m,,6 tầng,8 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Full,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",55 m²,9.3 tỷ,4 m,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,
"Ngõ 32, Đường Hạ Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,5.3 tỷ,4 m,,4 tầng,4 phòng,,,,,
"Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",75 m²,9.5 tỷ,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Lê Đức Thọ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",40 m²,4 tỷ,,,,5 phòng,,,"+ Chủ tặng hết nội thất, 5 điều hòa, bàn ghế.",,
"Đường Giáp Bát, Phường Giáp Bát, Hoàng Mai, Hà Nội",65 m²,7.5 tỷ,4.2 m,10 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất cơ bản.,Tây - Nam,
"Đường Lạc Long Quân, Phường Nhật Tân, Tây Hồ, Hà Nội",55 m²,5 tỷ,,,5 tầng,6 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",46 m²,5.5 tỷ,,,5 tầng,9 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Hoàng Văn Thái, Phường Khương Đình, Thanh Xuân, Hà Nội",43 m²,11.8 tỷ,,,,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",72 m²,8.3 tỷ,5.2 m,,3 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",38 m²,4.4 tỷ,4.5 m,4 m,,6 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",40 m²,3.5 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng.,,,
"Phố Cầu Am, Phường Vạn Phúc, Hà Đông, Hà Nội",32 m²,3.85 tỷ,3.5 m,,5 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Đức Giang, Phường Đức Giang, Long Biên, Hà Nội",100 m²,6.25 tỷ,,4.5 m,,2 phòng,,Sổ đỏ/ Sổ hồng,,,
"Phố Chùa Bộc, Phường Trung Liệt, Đống Đa, Hà Nội",45 m²,3.38 tỷ,3.5 m,,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,,
"Phố Gia Quất, Phường Thượng Thanh, Long Biên, Hà Nội",56 m²,5.8 tỷ,4.6 m,6 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,
"Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",33 m²,6.35 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Phường Phú Đô, Nam Từ Liêm, Hà Nội",40 m²,4.15 tỷ,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 92, Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",215 m²,72 tỷ,8 m,,1 tầng,1 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Đội Cấn, Phường Ngọc Hà, Ba Đình, Hà Nội",35 m²,4 tỷ,4 m,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,
"Ngõ 9 Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",55 m²,11 tỷ,4 m,8 m,4 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội",40 m²,3.95 tỷ,4 m,3 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",31 m²,2.5 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ,,,
"Ngõ 50, đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",45 m²,5.65 tỷ,,,,4 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",64 m²,9.8 tỷ,10 m,3 m,7 tầng,18 phòng,18 phòng,Sổ đỏ/ Sổ hồng,,,
"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",50 m²,9.5 tỷ,,,5 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đạc Tài, Xã Mai Đình, Sóc Sơn, Hà Nội",68 m²,Thỏa thuận,4 m,3 m,,1 phòng,1 phòng,Sổ đỏ trao tay,Đầy đủ,Đông,
"Ngõ 93, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",185 m²,31.9 tỷ,10 m,8 m,4 tầng,6 phòng,6 phòng,,,,
"Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",120 m²,20 tỷ,,2.5 m,7 tầng,22 phòng,,Sổ đỏ/ Sổ hồng,"Đã setup đầy đủ nội thất: Giường tủ, bàn ghế, tivi, tủ lạnh, sofa.",,
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",70 m²,Thỏa thuận,6 m,30 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Tiện nghi,,
"Phố Phạm Tuấn Tài, Phường Dịch Vọng, Cầu Giấy, Hà Nội",45 m²,10.2 tỷ,4 m,10 m,4 tầng,4 phòng,3 phòng,,,,
"Phố Phùng Chí Kiên, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",55 m²,11 tỷ,,4.5 m,7 tầng,,5 phòng,,,,
"Đường Nguyễn Trãi, Phường Văn Quán, Hà Đông, Hà Nội",60 m²,10 tỷ,4.8 m,,6 tầng,11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Tiện nghi.,,
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",50 m²,6.58 tỷ,5 m,3 m,5 tầng,9 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Nguyễn Đình Thi, Phường Bưởi, Tây Hồ, Hà Nội",520 m²,130 tỷ,,,5 tầng,4 phòng,6 phòng,,,,
"Đường Hồ Tùng Mậu, Phường Mai Dịch, Cầu Giấy, Hà Nội",50 m²,6.9 tỷ,6 m,3.5 m,5 tầng,5 phòng,,,,,
"Đường Đỗ Ngọc Du, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội",50 m²,6.8 tỷ,5 m,3 m,3 tầng,4 phòng,2 phòng,SĐCC,Full,,
"Đường Phan Đình Giót, Phường Phương Liệt, Thanh Xuân, Hà Nội",55 m²,9.8 tỷ,5 m,2.5 m,8 tầng,18 phòng,18 phòng,Sổ đỏ chính chủ.,Đầy đủ.,,
"Ngõ 79, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",30 m²,3.7 tỷ,4 m,3 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",43 m²,4.9 tỷ,,,,,,Sổ đỏ/ Sổ hồng.,,,
"Đường Phan Đình Giót, Phường La Khê, Hà Đông, Hà Nội",35 m²,4 tỷ,,,5 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội",24 m²,4.5 tỷ,3.5 m,5 m,3 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",46 m²,6.8 tỷ,5.5 m,3 m,5 tầng,8 phòng,7 phòng,,Nội thất cao cấp.,,
"Dự án The Ori Garden, Đường Mê Linh, Phường Hòa Hiệp Nam, Liên Chiểu, Đà Nẵng",45 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng,,,
"Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",52 m²,4.4 tỷ,,,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Ngõ Thống Nhất, Phố Đại La, Phường Trương Định, Hai Bà Trưng, Hà Nội",145 m²,12.5 tỷ,7.2 m,,2 tầng,2 phòng,2 phòng,,,,
"Đường 32, Xã Kim Chung, Hoài Đức, Hà Nội",40 m²,3.8 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,
"Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội",40 m²,4.2 tỷ,,,5 tầng,6 phòng,5 phòng,,,,
"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",45 m²,11 tỷ,,,5 tầng,3 phòng,5 phòng,Đã có sổ,Nội thất cao cấp,,
"Đường Đền Lừ, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",30 m²,Thỏa thuận,,,5 tầng,4 phòng,4 phòng,Sổ đỏ.,,,
"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",55 m²,6.25 tỷ,,3.5 m,5 tầng,6 phòng,4 phòng,Sổ đỏ.,,,
"Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",28 m²,2.8 tỷ,3.6 m,,4 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,,,
"Ngõ 42, Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",30 m²,4 tỷ,4.5 m,2.5 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Lê Văn Lương, Phường Trung Hòa, Cầu Giấy, Hà Nội",64 m²,18 tỷ,4.4 m,7 m,7 tầng,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất nhập xịn.,,
"Ngõ 66, Phố Yên Lạc, Phường Minh Khai, Hai Bà Trưng, Hà Nội",145 m²,22.5 tỷ,6.6 m,,4 tầng,4 phòng,4 phòng,,,,
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",38 m²,5.9 tỷ,5 m,3 m,6 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"128A ngõ Văn Hương, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",23 m²,1.85 tỷ,5 m,,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông,
"Đường Khương Trung mới, Phường Khương Trung, Thanh Xuân, Hà Nội",35 m²,3.2 tỷ,3.2 m,10 m,4 tầng,2 phòng,3 phòng,Sổ hồng đẹp,Đây đủ gắn tường,,
"Ngõ Thổ Quan, Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",130 m²,7.8 tỷ,8 m,,,,,,,Nam,
"Đường Quốc lộ 6, Phường Yên Nghĩa, Hà Đông, Hà Nội",30 m²,2.4 tỷ,,,5 tầng,3 phòng,3 phòng,Sổ đỏ,,,
"Ngõ Thông Phong, Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",15 m²,1.15 tỷ,3 m,2 m,4 tầng,2 phòng,,,,Đông - Bắc,
"Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",32 m²,3.2 tỷ,,3 m,5 tầng,,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,
"Đường Trần Hưng Đạo, Hoàn Kiếm, Hà Nội.",70 m²,12.5 tỷ,,,,,,Sổ đỏ/ Sổ hồng.,,,
"Ngõ 16, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",45 m²,5.2 tỷ,4.5 m,,4 tầng,5 phòng,,,,,
"Phố Cảm Hội, Phường Đống Mác, Hai Bà Trưng, Hà Nội",71 m²,9.7 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,,
"Đường Hoa Bằng, Phường Yên Hòa, Cầu Giấy, Hà Nội",35 m²,9.5 tỷ,5 m,8 m,7 tầng,3 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất Châu Âu.,,
"Ngõ 109, Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",48 m²,5.2 tỷ,5.5 m,3 m,5 tầng,4 phòng,4 phòng,Sổ đỏ chính chủ.,,,
"Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội",56 m²,3 tỷ,4 m,,,,,Sổ đỏ/ Sổ hồng.,,,
"Phường Dịch Vọng, Cầu Giấy, Hà Nội",40 m²,5.5 tỷ,4.8 m,3 m,5 tầng,9 phòng,5 phòng,Đã có sổ đỏ,Đầy đủ,,
"Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội",55 m²,3.2 tỷ,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Hoàng Như Tiếp, Phường Bồ Đề, Long Biên, Hà Nội",54 m²,4.5 tỷ,4.6 m,,4 tầng,4 phòng,4 phòng,Sổ đỏ.,,,
"Đường Nam Dư, Phường Lĩnh Nam, Hoàng Mai, Hà Nội",30 m²,2.6 tỷ,8 m,2 m,5 tầng,3 phòng,4 phòng,Sổ đỏ chính chủ,Cơ bản gắn tường,Tây - Nam,Tây - Nam
"Đường Mậu Lương, Phường Kiến Hưng, Hà Đông, Hà Nội",60 m²,6.9 tỷ,,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Quan, Phường Việt Hưng, Long Biên, Hà Nội",31 m²,2.1 tỷ,4.8 m,,2 tầng,,,Sổ đỏ.,,,
"Phố 8/3, Phường Quỳnh Lôi, Hai Bà Trưng, Hà Nội",42 m²,6.8 tỷ,3.8 m,5 m,4 tầng,4 phòng,4 phòng,,,,
"Phố Nguyễn Ngọc Vũ, Phường Yên Hòa, Cầu Giấy, Hà Nội",37 m²,5.2 tỷ,4 m,,5 tầng,,,Sổ đỏ,,,
"Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội",28 m²,3.8 tỷ,,5 m,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"Phố Yên Hoa, Phường Yên Phụ, Tây Hồ, Hà Nội",80 m²,13 tỷ,6.4 m,4 m,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",30 m²,2.9 tỷ,5 m,,5 tầng,3 phòng,,Sổ đỏ.,,,
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",57 m²,5.9 tỷ,4.2 m,6 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"Phố 8/3, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",41.2 m²,9.6 tỷ,,,5 tầng,5 phòng,4 phòng,,,,
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",96 m²,11.6 tỷ,4.5 m,2.5 m,6 tầng,7 phòng,8 phòng,,,,
"Dự án KĐT Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",40 m²,12.2 tỷ,4 m,6 m,6 tầng,7 phòng,5 phòng,Sổ đỏ chính chủ. Sẵn giao dịch,Đầy đủ,,
"Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",65 m²,8.6 tỷ,4 m,,5 tầng,,,,"Full nội thất, điều hòa, nóng lạnh, giường tủ, bàn bếp, tủ bếp, hút mùi.",,
"Ngõ 32, Đường Hạ Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,5.3 tỷ,4 m,,4 tầng,4 phòng,,,,,
"Đường Tư Đình, Phường Long Biên, Long Biên, Hà Nội",35 m²,3.28 tỷ,4 m,2.6 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,Đông - Bắc
"Đường Tứ Liên, Phường Bưởi, Tây Hồ, Hà Nội",60 m²,11.5 tỷ,5 m,,5 tầng,,,,,,
"Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội",46 m²,11.7 tỷ,5 m,8 m,7 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Cao cấp.,Tây - Nam,
"Đường Tam Trinh, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",30 m²,2.98 tỷ,,,4 tầng,2 phòng,3 phòng,Sổ đỏ chính chủ.,Nội thất đầy đủ.,,
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",40 m²,5 tỷ,4.5 m,5 m,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,,,
"Đường Đầm Trấu, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",46 m²,7.9 tỷ,4 m,6 m,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Tứ Liên, Phường Tứ Liên, Tây Hồ, Hà Nội",55 m²,7.2 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",40 m²,9.5 tỷ,3.7 m,,6 tầng,3 phòng,,Sổ đỏ.,Cơ bản đầy đủ.,Tây - Nam,
"Ngõ 858, Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",48 m²,4.2 tỷ,5 m,,5 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội",31 m²,3.3 tỷ,3.5 m,3 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Ngõ 96, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội",40 m²,4.86 tỷ,4 m,,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng.,,,
"Ngõ 22, Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",40 m²,3.94 tỷ,4 m,4 m,4 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,
"Đường Đội Nhân, Phường Đội Cấn, Ba Đình, Hà Nội",30 m²,4.25 tỷ,,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",46 m²,6.7 tỷ,5.1 m,4 m,5 tầng,9 phòng,,Sổ đỏ/ Sổ hồng,Cao cấp,,
"Ngõ 554, Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội",60 m²,13.5 tỷ,5 m,8 m,6 tầng,5 phòng,5 phòng,,Nội thất cao cấp.,,
"Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội",50 m²,8.5 tỷ,4.5 m,,4 tầng,,,Sổ đỏ/ Sổ hồng,,,
"Phường Long Biên, Long Biên, Hà Nội",45 m²,3.8 tỷ,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,
"Ngõ 788, Đường Kim Giang, Xã Thanh Liệt, Thanh Trì, Hà Nội",41 m²,3.2 tỷ,,,4 tầng,,,,,,
"Ngõ 82, Đường Phạm Ngọc Thạch, Phường Trung Tự, Đống Đa, Hà Nội",42 m²,5.52 tỷ,3.5 m,4 m,4 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
"Đường Vân Hồ 2, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội",68 m²,16 tỷ,5 m,5 m,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ, chất lượng cao cấp",,
"Ngõ 32, Đường Hạ Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",45 m²,5.3 tỷ,4 m,,4 tầng,4 phòng,,,,,
"Đường Kim Ngưu, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",85 m²,9.6 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"Đường Thanh Liệt, Xã Thanh Liệt, Thanh Trì, Hà Nội",52 m²,6.5 tỷ,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,,
